interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;measure_1;0;0.02;0;1;-100444340;0;0;0.02;1;0.01;69.61;69.61;13.82;5.07;68.27;0.00
0.00;3600.00;measure_1;0;0.06;1;0;-100638263;0;0;0.06;1;0.03;7.05;6.03;5.00;3.49;6.05;0.00
0.00;3600.00;measure_1;0;;0;0;-101453737#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;43;2.34;1;43;-101552351#0;0;0;2.34;1;0.88;3.44;144.82;6.45;40.39;2.80;0.00
0.00;3600.00;measure_1;0;3.81;0;43;-101552351#1;0;0;3.81;43;1.37;3.77;162.14;4.46;76.26;2.51;0.00
0.00;3600.00;measure_1;0;0.15;0;4;-10158749#0;0;0;0.15;4;0.07;4.52;18.09;8.49;5.05;3.78;0.00
0.00;3600.00;measure_1;0;0.12;0;4;-10158749#1;0;0;0.12;4;0.05;2.21;8.82;11.68;0.91;1.80;0.00
0.00;3600.00;measure_1;0;0.06;1;1;-10158749#11;0;0;0.06;2;0.03;12.43;24.34;9.90;7.95;11.47;0.00
0.00;3600.00;measure_1;0;0.25;0;4;-10158749#2;0;0;0.25;4;0.09;2.12;8.47;6.83;4.03;1.47;0.00
0.00;3600.00;measure_1;0;0.09;0;3;-10158749#3;0;0;0.09;3;0.04;1.97;5.90;11.76;0.26;1.53;0.00
0.00;3600.00;measure_1;0;0.09;0;3;-10158749#4;0;0;0.09;3;0.04;3.17;9.51;11.05;0.97;2.73;0.00
0.00;3600.00;measure_1;0;0.05;1;1;-10158749#7;0;0;0.05;2;0.03;14.78;29.09;10.91;4.91;14.38;0.00
0.00;3600.00;measure_1;0;0.02;0;1;-10158749#9;0;0;0.02;1;0.01;9.17;9.17;12.55;1.54;8.52;0.00
0.00;3600.00;measure_1;1;2.23;1;85;-10159349#1;0;0;2.23;84;1.09;26.51;2266.01;10.83;405.02;25.60;43.00
0.00;3600.00;measure_1;1;0.14;0;6;-10159423#0;0;0;0.14;5;0.06;6.09;36.56;12.94;2.04;5.70;0.00
0.00;3600.00;measure_1;0;2.18;0;58;-10159423#1;0;0;2.18;57;0.92;4.36;249.55;8.42;69.94;3.64;0.00
0.00;3600.00;measure_1;0;0.38;0;16;-10159589#1;0;0;0.38;16;0.18;7.65;122.40;12.48;8.67;7.25;0.00
0.00;3600.00;measure_1;0;0.05;0;1;-10159674#1;0;0;0.05;1;0.02;3.39;3.39;7.30;0.73;2.47;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10159674#2;0;0;0.03;1;0.01;7.70;7.70;11.73;0.84;7.28;0.00
0.00;3600.00;measure_1;0;0.05;1;0;-10159699;0;0;0.05;1;0.02;5.95;5.06;5.73;3.15;5.38;0.00
0.00;3600.00;measure_1;0;0.18;0;6;-10159855#0;0;0;0.18;6;0.08;8.09;48.53;10.04;11.15;7.37;0.00
0.00;3600.00;measure_1;1;0.11;0;4;-10159855#1;0;0;0.11;3;0.05;6.25;24.93;10.67;5.23;5.79;0.00
0.00;3600.00;measure_1;0;0.04;0;1;-10159906#1;0;0;0.04;1;0.02;6.80;6.80;8.56;2.15;6.10;0.00
0.00;3600.00;measure_1;0;0.04;0;2;-10159906#10;0;0;0.04;2;0.02;14.41;28.83;13.05;2.33;14.05;0.00
0.00;3600.00;measure_1;0;0.21;1;0;-10159906#11;0;0;0.21;1;0.04;2.35;1.64;3.05;1.30;;0.00
0.00;3600.00;measure_1;0;;0;0;-10159906#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;2;-10159906#6;0;0;0.05;2;0.02;6.23;12.46;11.68;1.28;5.55;0.00
0.00;3600.00;measure_1;0;;0;0;-10159950;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.98;0;33;-10160219#0;0;0;0.98;33;0.46;10.39;342.81;9.88;80.06;9.55;0.00
0.00;3600.00;measure_1;0;0.87;0;33;-10160219#1;0;0;0.87;33;0.39;4.44;146.53;11.63;17.86;4.00;0.00
0.00;3600.00;measure_1;0;0.82;0;33;-10160325;0;0;0.82;33;0.39;11.09;365.95;11.66;45.19;10.66;0.00
0.00;3600.00;measure_1;0;0.10;6;0;-10160480#6;0;0;0.10;0;0.05;41.07;114.00;7.69;11.91;40.42;0.00
0.00;3600.00;measure_1;0;0.02;1;0;-10160613#3;0;0;0.02;1;0.01;20.42;19.96;11.20;4.42;19.82;0.00
0.00;3600.00;measure_1;0;;0;0;-10160671;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10160792#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10161011#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10161011#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;8.61;0;152;-101906724#1;0;0;8.61;152;4.25;49.60;7539.61;5.00;4657.95;48.64;902.00
0.00;3600.00;measure_1;0;3.96;0;154;-101906724#2;0;0;3.96;153;1.87;7.71;1185.51;11.43;149.68;7.26;0.00
0.00;3600.00;measure_1;0;2.91;0;204;-101906728;0;0;2.91;198;1.44;30.96;6152.83;19.16;782.27;30.64;0.00
0.00;3600.00;measure_1;0;21.09;0;416;-10231352#3;0;0;21.09;416;10.47;66.65;19962.37;4.02;16308.47;65.92;10999.00
0.00;3600.00;measure_1;0;6.24;0;416;-10231352#5;0;0;6.24;416;2.94;4.38;1823.64;19.65;201.06;4.14;0.00
0.00;3600.00;measure_1;0;;0;0;-10237648#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;2;-10237816;0;0;0.05;2;0.03;10.27;20.55;10.74;4.81;9.52;0.00
0.00;3600.00;measure_1;0;;0;0;-10237985#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10237985#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.03;0;1;-10238288;0;0;0.03;1;0.01;10.70;10.70;9.45;3.81;9.98;0.00
0.00;3600.00;measure_1;18;0.63;0;28;-10238741#1;0;0;0.63;6;0.30;22.85;601.41;11.88;83.60;22.38;0.00
0.00;3600.00;measure_1;0;0.06;1;0;-10238945#0;0;0;0.06;1;0.03;5.01;3.82;4.27;2.70;4.54;0.00
0.00;3600.00;measure_1;0;;0;0;-10238945#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.12;0;3;-10243865#0;0;0;0.12;3;0.05;5.01;15.04;7.70;5.14;4.30;0.00
0.00;3600.00;measure_1;0;;0;0;-10243865#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.11;1;2;-10243940#0;0;0;0.11;3;0.05;6.47;18.75;7.80;6.46;5.65;0.00
0.00;3600.00;measure_1;0;0.03;1;0;-10243940#3;0;0;0.03;1;0.02;12.47;11.90;9.00;3.04;12.06;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10243964;0;0;0.03;1;0.02;9.68;9.68;8.72;3.97;9.04;0.00
0.00;3600.00;measure_1;0;0.04;1;0;-10244365#1;0;0;0.04;1;0.02;11.63;10.97;7.78;5.31;10.74;0.00
0.00;3600.00;measure_1;0;;0;0;-10244365#3;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10244395;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-102481670#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-102481677;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10259843#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.04;0;1;-10259848;0;0;0.04;1;0.02;13.37;13.37;6.70;2.02;11.29;0.00
0.00;3600.00;measure_1;0;0.05;0;1;-10259868#6;0;0;0.05;1;0.02;5.61;5.61;6.67;1.78;4.65;0.00
0.00;3600.00;measure_1;0;0.13;0;1;-10259868#9;0;0;0.13;1;0.03;1.98;1.98;4.66;0.38;1.01;0.00
0.00;3600.00;measure_1;0;0.05;1;0;-10259913#12;0;0;0.05;1;0.02;11.18;10.26;5.53;4.90;9.09;0.00
0.00;3600.00;measure_1;0;0.10;0;4;-10260001#1;0;0;0.10;4;0.05;18.63;74.52;11.62;13.21;17.68;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10260001#2;0;0;0.03;1;0.01;6.96;6.96;10.38;2.22;6.62;0.00
0.00;3600.00;measure_1;1;0.02;0;1;-10260001#3;0;0;0.02;0;0.01;27.74;27.74;12.67;1.44;27.35;0.00
0.00;3600.00;measure_1;0;0.02;0;1;-10260001#4;0;0;0.02;1;0.01;29.53;29.53;12.72;1.41;29.12;0.00
0.00;3600.00;measure_1;0;0.06;1;1;-10262806#0;0;0;0.06;2;0.03;12.66;24.78;9.23;7.17;11.92;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10262806#1;0;0;0.03;1;0.01;10.25;10.25;9.75;1.40;9.36;0.00
0.00;3600.00;measure_1;0;;0;0;-10262844#4;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10262844#5;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.03;0;1;-10262954#3;0;0;0.03;1;0.01;24.28;24.28;10.63;3.31;23.87;0.00
0.00;3600.00;measure_1;0;;0;0;-10262979;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;2;-10267096#0;0;0;0.05;2;0.02;5.66;11.33;13.04;3.14;4.93;0.00
0.00;3600.00;measure_1;0;0.03;0;2;-10267096#1;0;0;0.03;2;0.01;3.17;6.35;20.16;0.63;2.95;0.00
0.00;3600.00;measure_1;0;0.04;0;2;-10267096#2;0;0;0.04;2;0.02;1.22;2.43;17.92;0.09;0.93;0.00
0.00;3600.00;measure_1;0;0.03;0;2;-10267096#3;0;0;0.03;2;0.01;1.51;3.03;21.79;0.08;1.28;0.00
0.00;3600.00;measure_1;0;0.09;1;2;-10267096#5;0;0;0.09;3;0.04;6.43;18.74;9.43;9.74;4.95;0.00
0.00;3600.00;measure_1;0;0.06;0;2;-10267096#6;0;0;0.06;2;0.02;3.03;6.06;11.24;3.02;2.68;0.00
0.00;3600.00;measure_1;0;3.54;0;146;-10267102#0;0;0;3.54;135;1.75;41.88;5888.83;11.17;867.85;41.36;0.00
0.00;3600.00;measure_1;0;3.51;110;44;-10267102#1;0;0;3.51;151;1.74;27.83;4076.08;11.76;406.88;27.37;0.00
